url,page,alt,url_tail,common
https://www.viewar.com/media/2022/06/logo_arkit.png,https://www.viewar.com,,arkit,arkit
https://www.viewar.com/media/2022/06/logo_arcore.png,https://www.viewar.com,,arcore,arcore
https://www.viewar.com/media/2022/06/logo_visionlib.png,https://www.viewar.com,,visionlib,visionlib
https://www.viewar.com/media/2022/06/logo_placenote.png,https://www.viewar.com,,placenote,placenote
https://www.viewar.com/media/2022/06/logo_structure.png,https://www.viewar.com,,structure,lets
https://www.viewar.com/media/2022/06/logo_hololens.png,https://www.viewar.com,,hololens,azure
https://www.viewar.com/media/2022/06/logo_magicleap.png,https://www.viewar.com,,magicleap,magic_leap
https://www.viewar.com/media/2022/06/logo_quuppa.png,https://www.viewar.com,,quuppa,quuppa
https://www.viewar.com/media/2022/06/logo_infsoft.png,https://www.viewar.com,,infsoft,infsoft
https://www.viewar.com/media/2022/06/logo_proximi.png,https://www.viewar.com,,proximi,proximi
https://www.viewar.com/media/2022/06/logo_vuforia.png,https://www.viewar.com,,vuforia,vuforia
https://www.viewar.com/media/2022/05/logo_bo.png,https://www.viewar.com,,bo,olufsen bang
https://www.viewar.com/media/2022/05/logo_sbb.png,https://www.viewar.com,,sbb,sbb
https://www.viewar.com/media/2022/05/logo_lufthansacargo.png,https://www.viewar.com,,lufthansacargo,lufthansacargo
https://www.viewar.com/media/2022/05/logo_novomatic.png,https://www.viewar.com,,novomatic,persib_bandung
https://www.viewar.com/media/2022/05/logo_royalbotania.png,https://www.viewar.com,,royalbotania,royal_botania
https://www.viewar.com/media/2022/05/logo_steinway.png,https://www.viewar.com,,steinway,university
https://www.viewar.com/media/2022/07/logo_ERI.png,https://www.viewar.com,ERI,eri,ericsson
https://www.viewar.com/media/2022/05/logo_austrianairlines.png,https://www.viewar.com,,austrianairlines,austrianairlines
https://www.viewar.com/media/2022/05/logo_wienenergie.png,https://www.viewar.com,,wienenergie,wien_energie
https://www.viewar.com/media/2022/05/logo_erhardt.png,https://www.viewar.com,,erhardt,erhardt
https://www.viewar.com/media/2022/05/logo_interio.png,https://www.viewar.com,,interio,interio
https://www.viewar.com/media/2022/05/logo_evolaris_.png,https://www.viewar.com,,evolaris,evolaris
https://www.viewar.com/media/2022/05/logo_glatz.png,https://www.viewar.com,,glatz,glatz
https://www.viewar.com/media/2022/05/logo_willisau.png,https://www.viewar.com,,willisau,willisau
https://www.viewar.com/media/2022/05/logo_kare.png,https://www.viewar.com,,kare,kare
https://www.viewar.com/media/2022/05/logo_rika.png,https://www.viewar.com,,rika,rika
