Source,Target
https://www.sonitor.com,https://www.sonitor.com/ultrasound-innovation
https://www.sonitor.com,https://www.sonitor.com/sonitor-sense-rtls
https://www.sonitor.com,https://www.sonitor.com/forkbeard
https://www.sonitor.com,https://www.sonitor.com/lyra-smartphone-positioning
https://www.sonitor.com,https://www.sonitor.com/healthcare
https://www.sonitor.com,https://www.sonitor.com/asset-management
https://www.sonitor.com,https://www.sonitor.com/patient-flow
https://www.sonitor.com,https://www.sonitor.com/workflow
https://www.sonitor.com,https://www.sonitor.com/infection-control
https://www.sonitor.com,https://www.sonitor.com/staff-patient-safety
https://www.sonitor.com,https://www.sonitor.com/nurse-call
https://www.sonitor.com,https://www.sonitor.com/environmental-monitoring
https://www.sonitor.com,https://www.sonitor.com/long-term-care
https://www.sonitor.com,https://www.sonitor.com/hospitality
https://www.sonitor.com,https://www.sonitor.com/data-centers
https://www.sonitor.com,https://www.sonitor.com/warehouses
https://www.sonitor.com,https://www.sonitor.com/infrastructure
https://www.sonitor.com,https://www.sonitor.com/software
https://www.sonitor.com,https://www.sonitor.com/tags
https://www.sonitor.com,https://www.sonitor.com/corporate-overview
https://www.sonitor.com,https://www.sonitor.com/our-story
https://www.sonitor.com,https://www.sonitor.com/leadership
https://www.sonitor.com,https://www.sonitor.com/partners
https://www.sonitor.com,https://www.sonitor.com/talk-to-us-1
https://www.sonitor.com,https://www.sonitor.com/blog-main
https://www.sonitor.com,https://partnerportal.sonitor.com
https://www.sonitor.com,https://www.sonitor.com/articles-press-releases
https://www.sonitor.com,https://www.sonitor.com/videos
https://www.sonitor.com,https://www.sonitor.com/webinars-01
https://www.sonitor.com,https://www.sonitor.com/solution-briefs
https://www.sonitor.com,https://www.sonitor.com/for-developers
https://www.sonitor.com,https://www.sonitor.com/contact-us
https://www.sonitor.com,https://www.sonitor.com/request-demo
https://www.sonitor.com,https://www.sonitor.com/#header
https://www.sonitor.com,http://partnerportal.sonitor.com
https://www.sonitor.com/ultrasound-innovation,https://www.sonitor.com/ultrasound-innovation#header
https://www.sonitor.com/sonitor-sense-rtls,https://www.sonitor.com/s/100820-Sonitor-Sonitor-Sense-Technology-Brief-6s93.pdf
https://www.sonitor.com/sonitor-sense-rtls,https://www.sonitor.com/s/082621-Sonitor-Infrastructure-Tag-Services-Performance-Program.pdf
https://www.sonitor.com/sonitor-sense-rtls,https://www.sonitor.com/sonitor-sense-rtls#header
https://www.sonitor.com/forkbeard,https://forkbeardtech.com
https://www.sonitor.com/forkbeard,https://www.sonitor.com/s/111920-Sonitor-Forkbeard-Technology-Brief.pdf
https://www.sonitor.com/forkbeard,https://www.sonitor.com/forkbeard#header
https://www.sonitor.com/lyra-smartphone-positioning,https://www.sonitor.com/lyra-smartphone-positioning#header
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/041922-Sonitor-Case-Study-Sanford-Moorhead.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/122821-Sonitor-Case-Study-Sanford-Rounding.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/sonitor-case-study-CGSL.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/sonitor-case-study-Medstar.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/sonitor-case-study-altru-jdj2.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/s/sonitor-case-study-NCH-4k73.pdf
https://www.sonitor.com/healthcare,https://www.sonitor.com/healthcare#header
https://www.sonitor.com/asset-management,https://www.sonitor.com/s/09042020-Sonitor-Asset-Management.pdf
https://www.sonitor.com/asset-management,https://www.sonitor.com/asset-management#header
https://www.sonitor.com/patient-flow,https://www.sonitor.com/s/090420-Sonitor-Patient-Flow.pdf
https://www.sonitor.com/patient-flow,https://www.sonitor.com/patient-flow#header
https://www.sonitor.com/workflow,https://www.sonitor.com/s/Sonitor-Emergency-Department-Brief-0919_FINAL.pdf
https://www.sonitor.com/workflow,https://www.sonitor.com/workflow#header
https://www.sonitor.com/infection-control,https://www.sonitor.com/s/050820_Sonitor-Contact-Tracing-Brief.pdf
https://www.sonitor.com/infection-control,https://www.sonitor.com/s/111921-Sonitor-Contact-Tracing-Hand-Hygiene-Brief.pdf
https://www.sonitor.com/infection-control,https://www.sonitor.com/s/040720-Sonitor-Field-Hospital-Brief.pdf
https://www.sonitor.com/infection-control,https://www.sonitor.com/s/Sonitor-COVID-19-Customer-Communication-031920.pdf
https://www.sonitor.com/infection-control,https://www.sonitor.com/infection-control#header
https://www.sonitor.com/staff-patient-safety,https://www.sonitor.com/s/Sonitor-Staff-Safety-hft5.pdf
https://www.sonitor.com/staff-patient-safety,https://www.sonitor.com/s/092820-Sonitor-Patient-Wandering.pdf
https://www.sonitor.com/staff-patient-safety,https://www.sonitor.com/staff-patient-safety#header
https://www.sonitor.com/nurse-call,https://www.sonitor.com/s/20220208-Sonitor-Ascom-Integration-Brief.pdf
https://www.sonitor.com/nurse-call,https://www.sonitor.com/s/20210217-Sonitor-Critical-Alert-Integration-Brief.pdf
https://www.sonitor.com/nurse-call,https://www.sonitor.com/s/20200129-Sonitor-Jeron-Integration-Brief.pdf
https://www.sonitor.com/nurse-call,https://www.sonitor.com/s/060921-Sonitor-WestCom-Integration-Brief.pdf
https://www.sonitor.com/nurse-call,https://www.sonitor.com/nurse-call#header
https://www.sonitor.com/environmental-monitoring,https://www.sonitor.com/environmental-monitoring#header
https://www.sonitor.com/long-term-care,https://www.sonitor.com/s/051220_Sonitor-Long-Term-Care-Brief.pdf
https://www.sonitor.com/long-term-care,https://www.sonitor.com/s/112420-Sonitor-Case-Study-Life-Care.pdf
https://www.sonitor.com/long-term-care,https://www.sonitor.com/long-term-care#header
https://www.sonitor.com/hospitality,https://www.sonitor.com/hospitality#header
https://www.sonitor.com/data-centers,https://www.sonitor.com/data-centers#header
https://www.sonitor.com/warehouses,https://www.sonitor.com/warehouses#header
https://www.sonitor.com/infrastructure,https://www.sonitor.com/infrastructure#header
https://www.sonitor.com/software,https://www.sonitor.com/software#header
https://www.sonitor.com/tags,https://www.sonitor.com/tags#header
https://www.sonitor.com/corporate-overview,http://www.forkbeardtech.com
https://www.sonitor.com/corporate-overview,https://www.sonitor.com/s/101220-Sonitor-Company-Profile-2-pager-Healthdcare.pdf
https://www.sonitor.com/corporate-overview,https://www.sonitor.com/s/101220-Sonitor-Company-Profile-1-Pager-Generic.pdf
https://www.sonitor.com/corporate-overview,https://www.sonitor.com/corporate-overview#header
https://www.sonitor.com/our-story,https://www.sonitor.com/our-story#header
https://www.sonitor.com/leadership,https://www.sonitor.com/leadership#header
https://www.sonitor.com/partners,https://www.sonitor.com/partners#header
https://www.sonitor.com/talk-to-us-1,https://www.sonitor.com/talk-to-us-1#header
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2020/3/25/sonitor-sense-rtls-technology-helps-minimize-the-spread-of-infection-and-accurately-trace-its-path
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2020/3/2/rtl-technology-delivers-wow-experience
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2019/1/29/ensure-staff-safety-in-high-risk-environments
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/9/27/how-to-use-rtls-to-improve-resource-and-staff-management
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/7/26/considering-a-real-time-location-system-rtls-technology-matters
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/7/13/read-about-key-technology-considerations-when-choosing-an-rtls-and-indoor-positioning-platform-as-reported-by-dotmed-this-week
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/what-is-indoor-positioning-ips
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1?category=INDOOR+POSITIONING+TECH
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/what-is-rtls-real-time-location-system
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/5/31/beyond-nurse-call-a-six-part-series-about-how-rtls-is-revolutionizing-traditional-caregiver-interactions-part-6-of-6
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1?category=NURSE+CALL
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/5/31/beyond-nurse-call-a-six-part-series-about-how-rtls-is-revolutionizing-traditional-caregiver-interactions-part-5-of-6
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/2/6/beyond-nurse-call-a-six-part-series-about-how-rtls-is-revolutionizing-traditional-caregiver-interactions-part-4-of-6
https://www.sonitor.com/blog-main,https://www.sonitor.com/blog-1/2018/2/6/beyond-nurse-call-a-six-part-series-about-how-rtls-is-revolutionizing-traditional-caregiver-interactions-part-3-of-6
